Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : EL PINTOR
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,BAGUA GRANDE
Latitud :,5°45'22.32'',Longitud :,78°31'22.3'',Altitud :,533 msnm.
Tipo :,PLU - Meteorológica,Código :,105040
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2025-07-01,,,,0.0
2025-07-02,,,,0.0
2025-07-03,,,,0.0
2025-07-04,,,,0.0
2025-07-05,,,,0.0
2025-07-06,,,,0.0
2025-07-07,,,,0.0
2025-07-08,,,,0.0
2025-07-09,,,,0.0
2025-07-10,,,,0.0
2025-07-11,,,,0.0
2025-07-12,,,,0.0
2025-07-13,,,,0.0
2025-07-14,,,,0.0
2025-07-15,,,,0.0
2025-07-16,,,,0.0
2025-07-17,,,,0.2
2025-07-18,,,,0.0
2025-07-19,,,,0.0
2025-07-20,,,,0.0
2025-07-21,,,,0.0
2025-07-22,,,,0.0
2025-07-23,,,,0.0
2025-07-24,,,,2.2
2025-07-25,,,,0.0
2025-07-26,,,,0.0
2025-07-27,,,,5.6
2025-07-28,,,,0.0
2025-07-29,,,,0.0
2025-07-30,,,,0.0
2025-07-31,,,,0.0
