Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : EL PINTOR
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,BAGUA GRANDE
Latitud :,5°45'22.32'',Longitud :,78°31'22.3'',Altitud :,533 msnm.
Tipo :,PLU - Meteorológica,Código :,105040
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-09-01,,,,0.0
2024-09-02,,,,0.0
2024-09-03,,,,0.0
2024-09-04,,,,0.0
2024-09-05,,,,0.0
2024-09-06,,,,0.0
2024-09-07,,,,0.0
2024-09-08,,,,0.0
2024-09-09,,,,0.0
2024-09-10,,,,0.0
2024-09-11,,,,0.0
2024-09-12,,,,0.0
2024-09-13,,,,4.9
2024-09-14,,,,0.0
2024-09-15,,,,0.0
2024-09-16,,,,0.0
2024-09-17,,,,0.0
2024-09-18,,,,0.0
2024-09-19,,,,0.0
2024-09-20,,,,0.0
2024-09-21,,,,0.0
2024-09-22,,,,0.0
2024-09-23,,,,0.0
2024-09-24,,,,0.0
2024-09-25,,,,2.4
2024-09-26,,,,0.0
2024-09-27,,,,0.9
2024-09-28,,,,1.8
2024-09-29,,,,0.9
2024-09-30,,,,0.0
