Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'25.36'',Longitud :,78°11'20.83'',Altitud :,632 msnm.
Tipo :,PLU - Meteorológica,Código :,105046
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-06-01,,,,0.0
2020-06-02,,,,0.0
2020-06-03,,,,4.3
2020-06-04,,,,0.0
2020-06-05,,,,10.9
2020-06-06,,,,0.0
2020-06-07,,,,0.0
2020-06-08,,,,0.0
2020-06-09,,,,0.0
2020-06-10,,,,0.0
2020-06-11,,,,0.0
2020-06-12,,,,0.0
2020-06-13,,,,0.0
2020-06-14,,,,0.0
2020-06-15,,,,0.0
2020-06-16,,,,0.0
2020-06-17,,,,0.0
2020-06-18,,,,0.0
2020-06-19,,,,0.0
2020-06-20,,,,0.0
2020-06-21,,,,0.0
2020-06-22,,,,0.0
2020-06-23,,,,0.0
2020-06-24,,,,0.0
2020-06-25,,,,0.0
2020-06-26,,,,4.7
2020-06-27,,,,0.0
2020-06-28,,,,0.0
2020-06-29,,,,0.0
2020-06-30,,,,0.0
