Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA ROSA
Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,YAVARI
Latitud :,4°13'27.05'',Longitud :,69°57'12.6'',Altitud :,63 msnm.
Tipo :,HLM - Hidrológica,Código :,240108
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-05-01,10.43,10.43,10.44,10.44,10.44
2024-05-02,10.45,10.45,10.45,10.45,10.45
2024-05-03,10.45,10.45,10.45,10.45,10.45
2024-05-04,10.46,10.46,10.45,10.45,10.46
2024-05-05,10.44,10.44,10.43,10.43,10.44
2024-05-06,10.43,10.42,10.41,10.41,10.42
2024-05-07,10.39,10.38,10.37,10.36,10.38
2024-05-08,10.33,10.33,10.32,10.32,10.33
2024-05-09,10.31,10.31,10.31,10.31,10.31
2024-05-10,10.31,10.31,10.32,10.32,10.32
2024-05-11,10.33,10.33,10.33,10.33,10.33
2024-05-12,10.34,10.33,10.32,10.32,10.33
2024-05-13,10.32,10.32,10.32,10.32,10.32
2024-05-14,10.31,10.33,10.35,10.37,10.34
2024-05-15,10.43,10.43,10.44,10.44,10.44
2024-05-16,10.46,10.46,10.46,10.46,10.46
2024-05-17,10.46,10.46,10.46,10.46,10.46
2024-05-18,10.48,10.48,10.49,10.49,10.49
2024-05-19,10.50,10.50,10.50,10.50,10.50
2024-05-20,10.50,10.50,10.50,10.50,10.50
2024-05-21,10.50,10.50,10.50,10.50,10.50
2024-05-22,10.49,10.49,10.49,10.49,10.49
2024-05-23,10.48,10.48,10.48,10.48,10.48
2024-05-24,10.48,10.48,10.47,10.47,10.48
2024-05-25,10.46,10.46,10.47,10.47,10.47
2024-05-26,10.48,10.48,10.47,10.47,10.48
2024-05-27,10.47,10.47,10.47,10.46,10.47
2024-05-28,10.45,10.45,10.44,10.44,10.45
2024-05-29,10.42,10.41,10.40,10.40,10.41
2024-05-30,10.37,10.37,10.36,10.35,10.36
2024-05-31,10.32,10.32,10.31,10.30,10.31
